Country,Medal,Count
IR Iran,Bronze
Ukraine,Gold
Ukraine,Gold
Ukraine,Gold
Ukraine,Silver
Ukraine,Silver
Ukraine,Silver
Ukraine,Silver
Ukraine,Silver
Ukraine,Bronze
Ukraine,Bronze
Ukraine,Bronze
Ukraine,Bronze
Romania,Gold
Romania,Gold
Romania,Gold
Romania,Silver
Romania,Silver
Romania,Silver
Romania,Silver
Romania,Bronze
Romania,Bronze
Georgia,Gold
Georgia,Gold
Georgia,Gold
Georgia,Silver
Georgia,Silver
Georgia,Silver
Georgia,Bronze
Belgium,Gold
Belgium,Gold
Belgium,Gold
Belgium,Silver
Belgium,Bronze
Belgium,Bronze
Belgium,Bronze
Belgium,Bronze
Belgium,Bronze
Belgium,Bronze
Bulgaria,Gold
Bulgaria,Gold
Bulgaria,Gold
Bulgaria,Silver
Bulgaria,Bronze
Bulgaria,Bronze
Bulgaria,Bronze
Serbia,Gold
Serbia,Gold
Serbia,Gold
Serbia,Silver
Serbia,Bronze
Czechia,Gold
Czechia,Gold
Czechia,Gold
Czechia,Bronze
Czechia,Bronze
Denmark,Gold
Denmark,Gold
Denmark,Silver
Denmark,Silver
Denmark,Bronze
Denmark,Bronze
Denmark,Bronze
Denmark,Bronze
Denmark,Bronze
Azerbaijan,Gold
Azerbaijan,Gold
Azerbaijan,Silver
Azerbaijan,Silver
Azerbaijan,Bronze
Azerbaijan,Bronze
Azerbaijan,Bronze
Croatia,Gold
Croatia,Gold
Croatia,Silver
Croatia,Silver
Croatia,Bronze
Croatia,Bronze
Croatia,Bronze
Cuba,Gold
Cuba,Gold
Cuba,Silver
Cuba,Bronze
Cuba,Bronze
Cuba,Bronze
Cuba,Bronze
Cuba,Bronze
Cuba,Bronze
Bahrain,Gold
Bahrain,Gold
Bahrain,Silver
Bahrain,Bronze
Slovenia,Gold
Slovenia,Gold
Slovenia,Silver
Chinese Taipei,Gold
Chinese Taipei,Gold
Chinese Taipei,Bronze
Chinese Taipei,Bronze
Chinese Taipei,Bronze
Chinese Taipei,Bronze
Chinese Taipei,Bronze
Austria,Gold
Austria,Gold
Austria,Bronze
Austria,Bronze
Austria,Bronze
"Hong Kong, China",Gold
"Hong Kong, China",Gold
"Hong Kong, China",Bronze
"Hong Kong, China",Bronze
Philippines,Gold
Philippines,Gold
Philippines,Bronze
Philippines,Bronze
Algeria,Gold
Algeria,Gold
Algeria,Bronze
Indonesia,Gold
Indonesia,Gold
Israel,Gold
Israel,Silver
Israel,Silver
Israel,Silver
Israel,Silver
Israel,Silver
Israel,Bronze
Poland,Gold
Poland,Silver
Poland,Silver
Poland,Silver
Poland,Silver
Poland,Bronze
Poland,Bronze
Poland,Bronze
Poland,Bronze
Poland,Bronze
Kazakhstan,Gold
Kazakhstan,Silver
Kazakhstan,Silver
Kazakhstan,Silver
Kazakhstan,Bronze
Kazakhstan,Bronze
Kazakhstan,Bronze
Jamaica,Gold
Jamaica,Silver
Jamaica,Silver
Jamaica,Silver
Jamaica,Bronze
Jamaica,Bronze
South Africa,Gold
South Africa,Silver
South Africa,Silver
South Africa,Silver
South Africa,Bronze
South Africa,Bronze
Thailand,Gold
Thailand,Silver
Thailand,Silver
Thailand,Silver
Thailand,Bronze
Thailand,Bronze
AIN,Gold
AIN,Silver
AIN,Silver
AIN,Silver
AIN,Bronze
Ethiopia,Gold
Ethiopia,Silver
Ethiopia,Silver
Ethiopia,Silver
Switzerland,Gold
Switzerland,Silver
Switzerland,Silver
Switzerland,Bronze
Switzerland,Bronze
Switzerland,Bronze
Switzerland,Bronze
Switzerland,Bronze
Ecuador,Gold
Ecuador,Silver
Ecuador,Silver
Ecuador,Bronze
Ecuador,Bronze
