country_long,gender,age
Ireland,Female,24
Ireland,Male,26
Ireland,Female,20
Ireland,Male,26
Ireland,Female,27
Ireland,Female,27
Ireland,Female,25
India,Female,29
India,Female,24
India,Female,32
India,Female,28
Sweden,Female,23
Sweden,Female,26
Gabon,Female,28
Islamic Republic of Iran,Male,30
Islamic Republic of Iran,Male,22
Islamic Republic of Iran,Male,27
Islamic Republic of Iran,Male,22
Islamic Republic of Iran,Male,26
Islamic Republic of Iran,Male,26
Islamic Republic of Iran,Male,26
Islamic Republic of Iran,Male,26
Algeria,Male,23
Algeria,Female,25
Islamic Republic of Iran,Male,21
Algeria,Female,27
Ukraine,Male,26
Ukraine,Male,28
Ukraine,Female,24
Ukraine,Female,20
Vietnam,Male,24
Uzbekistan,Female,36
Uzbekistan,Female,27
France,Female,30
France,Female,35
France,Male,32
France,Male,25
Uzbekistan,Female,44
Algeria,Male,24
Mozambique,Female,30
"Virgin Islands, US",Male,32
Gambia,Male,31
Uzbekistan,Female,23
India,Male,23
India,Female,20
Uzbekistan,Male,19
Chinese Taipei,Male,27
Chinese Taipei,Female,31
Chinese Taipei,Male,28
Malaysia,Male,22
Algeria,Female,18
Uzbekistan,Female,34
Paraguay,Female,20
Luxembourg,Female,28
Luxembourg,Female,37
Luxembourg,Female,25
Paraguay,Male,24
Italy,Male,33
Italy,Male,24
Italy,Female,26
Italy,Female,28
Italy,Male,25
Gambia,Male,19
Gambia,Male,24
Mali,Male,28
Ireland,Male,23
Ireland,Female,23
Ireland,Female,26
Ireland,Male,22
Ireland,Female,28
Ireland,Female,25
Ireland,Male,27
Jamaica,Female,30
India,Male,23
India,Male,40
India,Male,28
Uzbekistan,Male,23
India,Female,30
India,Female,19
India,Female,26
Uzbekistan,Male,28
Paraguay,Male,41
Paraguay,Female,30
Georgia,Male,25
Paraguay,Male,25
Paraguay,Female,26
Paraguay,Female,24
Spain,Female,27
Spain,Female,21
Spain,Male,28
Spain,Male,25
Kosovo,Female,25
Côte d'Ivoire,Female,25
Jamaica,Male,29
India,Male,23
Fiji,Female,21
India,Female,14
Congo,Male,34
Paraguay,Female,26
Paraguay,Male,23
Mozambique,Male,18
Italy,Male,27
Italy,Female,29
Italy,Female,26
Italy,Male,30
Italy,Male,26
Italy,Male,27
Italy,Male,31
Italy,Male,31
Italy,Female,25
Italy,Male,24
Italy,Male,26
Italy,Male,28
Italy,Female,26
Italy,Male,27
Italy,Male,27
Italy,Female,26
Italy,Female,29
Italy,Male,29
Italy,Male,25
Italy,Male,24
Italy,Male,23
Italy,Male,30
Italy,Male,22
Italy,Female,25
Italy,Male,26
Italy,Female,24
Italy,Female,21
Namibia,Female,44
Jamaica,Female,36
Jamaica,Female,24
Côte d'Ivoire,Female,30
Côte d'Ivoire,Male,31
Costa Rica,Female,22
Costa Rica,Male,19
Mexico,Male,31
Uganda,Male,24
Uganda,Female,27
Uganda,Female,23
